id,game_publisher_id,platform_id,release_year
4250,1874,4,2007
4251,1876,4,2005
4252,2025,4,2009
4253,2032,4,2005
4254,2059,4,2009
4255,2192,4,2008
4256,2337,4,2005
4257,2352,4,2005
4258,2406,4,2009
4259,2458,4,2008
4260,2464,4,2007
4261,2474,4,2008
4262,2532,4,2008
4263,2591,4,2007
4264,2613,4,2006
4265,2682,4,2010
4266,2783,4,2009
4267,2801,4,2010
4268,2910,4,2007
4269,3015,4,2008
4270,3209,4,2004
4271,3667,4,2006
4272,3781,4,2011
4273,3912,4,2008
4274,3939,4,2010
4275,4026,4,2009
4276,4178,4,2009
4277,4298,4,2004
4278,4447,4,2009
4279,4536,4,2006
4280,4761,4,2009
4281,4895,4,2009
4282,5249,4,2004
4283,5382,4,2009
4284,5505,4,2011
4285,5713,4,2008
4286,6244,4,2008
4287,6446,4,2009
4288,6673,4,2009
4289,6714,4,2008
4290,6817,4,2008
4291,6889,4,2009
4292,6955,4,2008
4293,7567,4,2009
4294,8442,4,2008
4295,8490,4,2007
4296,11134,4,2009
4297,11277,4,2007
4298,69,5,2015
4299,74,5,2012
4300,75,5,2010
4301,91,5,2011
4302,102,5,2013
4303,110,5,2011
4304,113,5,2014
4305,175,5,2010
4306,191,5,2016
4307,207,5,2006
4308,218,5,2012
4309,218,5,2005
4310,244,5,2006
4311,260,5,2009
4312,294,5,2013
4313,305,5,2009
4314,323,5,2008
4315,328,5,2010
4316,362,5,2015
4317,381,5,2007
4318,389,5,2010
4319,397,5,2012
4320,428,5,2014
4321,438,5,2012
4322,446,5,2009
4323,447,5,2010
4324,452,5,2010
4325,481,5,2011
4326,483,5,2010
4327,485,5,2010
4328,488,5,2009
4329,509,5,2008
4330,518,5,2009
4331,519,5,2007
4332,524,5,2008
4333,557,5,2007
4334,619,5,2008
4335,634,5,2013
4336,672,5,2015
4337,676,5,2008
4338,700,5,2011
4339,701,5,2014
4340,704,5,2008
4341,714,5,2014
4342,718,5,2008
4343,742,5,2008
4344,754,5,2013
4345,791,5,2007
4346,875,5,2006
4347,897,5,2006
4348,910,5,2012
4349,912,5,2006
4350,919,5,2008
4351,1007,5,2009
4352,1008,5,2007
4353,1015,5,2011
4354,1071,5,2008
4355,1079,5,2012
4356,1175,5,2011
4357,1219,5,2006
4358,1224,5,2010
4359,1229,5,2012
4360,1295,5,2010
4361,1300,5,2007
4362,1307,5,2016
4363,1386,5,2008
4364,1402,5,2014
4365,1417,5,2011
4366,1447,5,2011
4367,1490,5,2009
4368,1499,5,2009
4369,1502,5,2010
4370,1512,5,2012
4371,1521,5,2013
4372,1545,5,2008
4373,1595,5,2007
4374,1601,5,2011
4375,1638,5,2013
4376,1647,5,2011
4377,1665,5,2009
4378,1702,5,2010
4379,1715,5,2009
4380,1744,5,2010
4381,1751,5,2013
4382,1776,5,2006
4383,1784,5,2011
4384,1797,5,2005
4385,1810,5,2012
4386,1874,5,2007
4387,1884,5,2010
4388,1933,5,2010
4389,1976,5,2009
4390,1996,5,2007
4391,2025,5,2009
4392,2059,5,2009
4393,2071,5,2010
4394,2121,5,2010
4395,2137,5,2007
4396,2138,5,2006
4397,2147,5,2007
4398,2183,5,2008
4399,2184,5,2008
4400,2186,5,2014
4401,2188,5,2011
4402,2231,5,2011
4403,2282,5,2008
4404,2287,5,2012
4405,2299,5,2009
4406,2309,5,2008
4407,2357,5,2005
4408,2441,5,2015
4409,2486,5,2011
4410,2549,5,2014
