id,game_id,publisher_id
268,6075,464
269,9549,352
270,2467,145
271,8916,464
272,6397,498
273,11022,282
274,3197,369
275,6255,464
276,9847,369
277,5442,369
278,783,369
279,6730,369
280,657,558
281,5448,452
282,5106,17
283,7802,551
284,7677,464
285,4656,532
286,9982,139
287,9275,369
288,3908,139
289,10031,352
290,7793,138
291,8944,464
292,3062,139
293,7290,369
294,703,139
295,6209,139
296,3288,369
297,10256,17
298,5781,498
299,606,369
300,8720,464
301,3766,17
302,3647,464
303,4424,464
304,7286,369
305,3055,139
306,7441,282
307,7794,82
308,10226,532
309,9007,296
310,2308,551
311,9941,139
312,1584,7
313,5266,369
314,9008,296
315,11108,514
316,1682,168
317,9718,464
318,10231,138
319,4437,139
320,5125,138
321,8028,514
322,8935,464
323,5074,139
324,2288,369
325,481,532
326,5009,369
327,1481,369
328,706,139
329,3761,17
330,2974,532
331,5972,82
332,973,498
333,9548,352
334,5185,464
335,3658,498
336,3113,475
337,8865,17
338,2857,369
339,3059,139
340,1634,464
341,5096,558
342,5718,282
343,9856,369
344,11111,13
345,9849,369
346,7490,369
347,8034,514
348,2733,369
349,4441,139
350,7665,464
351,5478,369
352,8995,296
353,5544,498
354,9871,139
355,478,532
356,10417,17
357,10861,369
358,3640,464
359,5986,82
360,9544,464
361,5039,498
362,5329,139
363,11193,369
364,15,139
365,635,369
366,4846,369
367,11109,514
368,1678,474
369,3579,464
370,2450,145
371,1787,345
372,2739,54
373,9254,369
374,7837,369
375,119,466
376,1478,126
377,325,369
378,8772,452
379,7798,82
380,3856,328
381,3052,139
382,8864,17
383,6508,139
384,8991,369
385,7074,369
386,9694,532
387,2468,145
388,3989,464
389,5527,139
390,2381,54
391,5333,139
392,10977,352
393,974,498
394,9844,369
395,2280,369
396,9983,139
397,5528,139
398,5011,17
399,2742,126
400,8094,514
401,7692,532
402,4854,464
403,10216,532
404,5808,369
405,11097,514
406,3465,328
407,6394,498
408,2386,54
409,5780,558
410,8960,369
411,9978,139
412,11018,282
413,2056,82
414,328,369
415,9968,139
416,9032,139
417,8762,452
418,4923,369
419,4089,138
420,10795,369
421,8718,464
422,11099,514
423,4309,464
424,6948,54
425,5526,328
426,10773,369
427,1588,7
428,10123,139
429,8766,452
430,8289,452
431,11020,282
432,4136,464
433,1196,17
434,11356,300
435,9396,464
436,4248,532
437,1510,91
438,5327,139
439,9693,532
440,6024,558
441,2860,369
442,11208,369
443,1538,551
444,8646,17
445,807,498
446,5324,139
447,5579,139
448,11098,514
449,5751,369
450,3158,514
451,6216,433
452,6514,139
453,4255,532
454,11096,514
455,9030,296
456,11206,369
457,4134,464
458,4855,464
459,89,464
460,11110,514
461,2449,145
462,6030,209
463,6457,139
464,7488,369
465,5985,369
466,4425,464
467,4312,464
468,7673,464
469,9550,352
470,9942,139
471,8752,452
472,8097,514
473,5849,54
474,5468,369
475,7288,369
476,5748,369
477,1189,17
478,6862,551
479,6032,558
480,5469,369
481,5326,139
482,5121,296
483,5325,139
484,5494,369
485,8630,139
486,1099,139
487,11194,288
488,6521,139
489,3149,474
490,6024,37
491,1188,17
492,2891,328
493,3884,126
494,8644,17
495,5581,139
496,9247,369
497,9026,369
498,5787,498
499,6959,464
500,3852,328
501,3574,464
502,2769,452
503,5485,369
504,6393,498
505,9148,369
506,3901,139
507,9243,369
508,9117,452
509,3053,139
510,7670,464
511,6442,139
512,4858,464
513,3516,498
514,5976,82
515,11092,514
516,7678,464
517,456,369
518,2367,139
519,5321,139
520,8749,452
521,2466,145
522,7258,369
523,1948,282
524,5322,139
525,1659,13
526,7062,369
527,3431,330
528,2464,82
529,10228,474
530,5515,17
531,7077,282
532,5471,369
533,7944,498
534,5103,558
535,6034,330
536,7817,464
537,7529,126
538,10234,138
539,6395,498
540,5473,369
541,10485,514
542,5786,498
543,3124,475
544,3119,475
545,10466,464
546,3854,328
547,6507,139
548,9974,139
549,7876,433
550,10215,532
551,8747,452
552,4219,369
553,7444,282
554,2382,54
555,527,464
556,2114,82
557,6520,139
558,9614,267
